date,actual_mean_temp,actual_min_temp,actual_max_temp,actual_precipitation,record_min_temp,record_max_temp
2015-3-4,24,14,33,0.00,-4,74
2015-3-5,14,8,19,0.00,0,76
2015-3-6,17,6,27,0.00,2,71
2015-3-7,36,26,46,0.00,-2,79
2015-3-8,37,31,42,0.0,-7,79
2015-3-9,40,28,52,0.00,3,69
2015-3-10,46,38,54,0.00,5,70
2015-3-11,45,36,54,0.00,3,76
2015-3-12,46,33,58,0.00,1,81
2015-3-13,53,41,65,0.00,11,74
2015-3-14,51,40,62,0.00,8,81
2015-3-15,49,34,64,0.00,12,81
2015-3-16,59,44,74,0.00,5,81
2015-3-17,38,31,44,0.00,0,80
2015-3-18,40,30,50,0.00,3,81
2015-3-19,46,41,50,0.00,11,79
2015-3-20,46,39,52,0.00,8,85
2015-3-21,43,35,50,0.00,12,86
2015-3-22,34,30,37,0.0,6,84
2015-3-23,31,30,32,0.15,6,79
2015-3-24,33,25,40,0.04,5,79
2015-3-25,41,38,43,0.13,10,78
2015-3-26,40,34,46,0.0,11,79
2015-3-27,30,25,34,0.01,13,82
2015-3-28,29,21,37,0.00,9,78
2015-3-29,40,28,51,0.04,17,86
2015-3-30,51,37,64,0.00,12,83
2015-3-31,49,41,57,0.00,12,85
2015-4-1,58,41,74,0.00,24,82
2015-4-2,59,50,68,0.27,22,82
2015-4-3,45,33,57,0.0,19,81
2015-4-4,46,31,61,0.00,16,80
2015-4-5,58,47,69,0.00,18,85
2015-4-6,53,41,64,0.07,16,84
2015-4-7,45,40,49,0.04,10,83
2015-4-8,49,43,54,0.08,20,82
2015-4-9,60,46,74,0.95,21,78
2015-4-10,54,42,65,0.0,22,91
2015-4-11,52,39,64,0.00,25,91
2015-4-12,59,47,71,0.00,21,86
2015-4-13,61,53,69,0.14,21,83
2015-4-14,57,46,67,0.00,23,85
2015-4-15,56,44,67,0.00,21,89
2015-4-16,56,47,64,0.34,26,88
2015-4-17,65,49,80,0.00,29,88
2015-4-18,59,50,68,0.00,25,89
2015-4-19,60,51,69,0.42,24,86
2015-4-20,50,43,56,0.0,27,87
2015-4-21,50,41,58,0.00,28,86
2015-4-22,43,37,49,0.0,25,91
2015-4-23,45,34,56,0.00,28,88
2015-4-24,48,35,60,0.29,29,89
2015-4-25,45,40,49,0.34,27,89
2015-4-26,48,39,57,0.00,29,91
2015-4-27,50,43,56,0.00,28,89
2015-4-28,49,38,60,0.00,30,84
2015-4-29,53,42,64,0.0,31,89
2015-4-30,47,42,52,0.00,31,92
2015-5-1,53,40,65,0.00,30,90
2015-5-2,66,53,79,0.00,30,91
2015-5-3,71,60,82,0.20,32,92
2015-5-4,66,57,74,0.0,37,82
2015-5-5,56,51,60,0.79,34,94
2015-5-6,67,51,82,0.00,34,93
2015-5-7,72,57,87,0.00,32,89
2015-5-8,75,66,84,0.28,33,93
2015-5-9,58,49,67,0.38,31,96
2015-5-10,53,47,58,0.16,29,91
2015-5-11,61,50,71,0.14,32,89
2015-5-12,53,47,58,0.0,28,92
2015-5-13,49,45,53,0.00,30,90
2015-5-14,58,46,69,0.13,37,92
2015-5-15,70,60,79,0.03,34,91
2015-5-16,75,67,82,0.0,35,94
2015-5-17,77,69,84,0.0,36,94
2015-5-18,66,51,81,0.00,34,93
2015-5-19,49,44,54,0.00,37,95
2015-5-20,47,43,51,0.02,36,95
2015-5-21,59,47,70,0.0,34,94
2015-5-22,59,50,68,0.00,40,93
2015-5-23,68,53,83,0.00,35,92
2015-5-24,69,62,76,0.44,36,93
2015-5-25,75,68,81,0.06,35,90
2015-5-26,73,69,77,0.42,34,93
2015-5-27,71,64,77,0.06,35,97
2015-5-28,72,60,84,0.00,40,94
2015-5-29,78,71,84,0.18,36,95
2015-5-30,59,45,73,0.79,36,95
2015-5-31,51,44,57,0.05,41,102
2015-6-1,55,48,62,0.00,39,107
2015-6-2,58,45,71,0.00,44,92
2015-6-3,67,55,79,0.00,37,98
2015-6-4,72,62,82,0.00,35,97
2015-6-5,65,56,73,0.00,37,98
2015-6-6,64,54,73,0.00,44,97
2015-6-7,72,60,83,0.44,45,101
2015-6-8,75,63,86,0.10,45,97
2015-6-9,74,61,87,0.00,42,96
2015-6-10,83,71,94,0.09,41,101
2015-6-11,72,65,79,0.20,41,100
2015-6-12,66,58,74,0.17,48,97
2015-6-13,73,58,88,0.19,44,95
2015-6-14,78,70,85,0.98,40,99
2015-6-15,77,71,83,0.24,45,95
2015-6-16,67,60,74,0.0,44,95
2015-6-17,65,58,72,0.33,42,96
2015-6-18,71,59,82,0.48,48,98
2015-6-19,63,57,68,0.00,44,102
2015-6-20,70,57,82,0.22,45,104
2015-6-21,79,70,87,0.0,45,101
2015-6-22,79,72,85,0.04,46,98
2015-6-23,74,67,81,0.00,46,99
2015-6-24,73,66,79,0.00,48,99
2015-6-25,74,65,83,0.16,46,104
2015-6-26,66,61,70,0.70,52,98
2015-6-27,68,59,77,0.0,50,102
2015-6-28,70,58,81,0.0,49,104
2015-6-29,71,66,75,0.03,50,97
2015-6-30,71,61,80,0.00,45,101
